"filename", "language", "CSS", "JavaScript JSX", "comment", "blank", "total"
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\AddBlog.jsx", "JavaScript JSX", 0, 177, 0, 19, 196
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\AddBrand.css", "CSS", 0, 0, 0, 1, 1
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\AddBrand.jsx", "JavaScript JSX", 0, 154, 0, 19, 173
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\AddCategory.jsx", "JavaScript JSX", 0, 166, 0, 18, 184
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\AddCity.jsx", "JavaScript JSX", 0, 87, 0, 5, 92
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\AddSubcategory.jsx", "JavaScript JSX", 0, 251, 0, 26, 277
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\AddTimeSlot.jsx", "JavaScript JSX", 0, 66, 0, 6, 72
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Banner.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Banner.jsx", "JavaScript JSX", 0, 11, 0, 2, 13
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Blog.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Blog.jsx", "JavaScript JSX", 0, 320, 6, 39, 365
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Brands.css", "CSS", 180, 0, 3, 37, 220
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Brands.jsx", "JavaScript JSX", 0, 306, 6, 39, 351
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Category.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Category.jsx", "JavaScript JSX", 0, 310, 6, 39, 355
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\City.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\City.jsx", "JavaScript JSX", 0, 290, 7, 38, 335
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Contact.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Contact.jsx", "JavaScript JSX", 0, 340, 1, 43, 384
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\CouponCode.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\CouponCode.jsx", "JavaScript JSX", 0, 11, 0, 2, 13
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Customers.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Customers.jsx", "JavaScript JSX", 0, 369, 6, 41, 416
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\DeliveryRoute.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\DeliveryRoute.jsx", "JavaScript JSX", 0, 11, 0, 2, 13
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Header.css", "CSS", 44, 0, 5, 7, 56
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Header.jsx", "JavaScript JSX", 0, 24, 0, 4, 28
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\NavRouters.jsx", "JavaScript JSX", 0, 70, 0, 2, 72
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Orders.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Orders.jsx", "JavaScript JSX", 0, 11, 0, 2, 13
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\PriceChange.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\PriceChange.jsx", "JavaScript JSX", 0, 11, 0, 2, 13
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Product.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Product.jsx", "JavaScript JSX", 0, 11, 0, 2, 13
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\ProductInquiry.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\ProductInquiry.jsx", "JavaScript JSX", 0, 312, 0, 30, 342
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\ProductReview.jsx", "JavaScript JSX", 0, 10, 0, 2, 12
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\SideBar.css", "CSS", 39, 0, 0, 8, 47
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Sidebar.jsx", "JavaScript JSX", 0, 92, 0, 19, 111
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Subcategory.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Subcategory.jsx", "JavaScript JSX", 0, 314, 5, 39, 358
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\TimeSlot.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\TimeSlot.jsx", "JavaScript JSX", 0, 297, 0, 44, 341
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\UpdateBlog.jsx", "JavaScript JSX", 0, 201, 0, 19, 220
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\UpdateBrand.css", "CSS", 192, 0, 1, 30, 223
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\UpdateBrand.jsx", "JavaScript JSX", 0, 179, 0, 17, 196
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\UpdateCategory.jsx", "JavaScript JSX", 0, 191, 0, 17, 208
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\UpdateCity.jsx", "JavaScript JSX", 0, 107, 0, 6, 113
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\UpdateSubcategory.jsx", "JavaScript JSX", 0, 280, 0, 27, 307
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\UpdateTimeSlot.jsx", "JavaScript JSX", 0, 87, 0, 9, 96
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Welcome.css", "CSS", 23, 0, 0, 3, 26
"d:\Sem-8\Grocery_Shop_Admin_Frontend\src\Components\Welcome.jsx", "JavaScript JSX", 0, 11, 0, 2, 13
"Total", "-", 800, 5077, 46, 709, 6632